"Gene_Name","Gene_ID","Protein_ID","Family_A","Description_A","Entry_Type_A","Clan_A","Envelope_Start_A","Envelope_End_A","Alignment_Start_A","ALignment_End_A","HMM_From_A","HMM_To_A","BIT_Score_A","E_Value_A","Predicted_Active_Sites"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","2657","2688","2660","2688","10","37","25.80","5.70E-06","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","2694","2730","2694","2730","1","37","42.70","2.90E-11","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","2732","2769","2734","2769","3","37","43.50","1.70E-11","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","2772","2812","2772","2810","1","35","38.00","8.70E-10","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","2816","2853","2816","2853","1","37","38.80","5.00E-10","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","2856","2897","2856","2895","1","35","46.80","1.60E-12","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","2902","2939","2903","2939","2","37","32.60","4.20E-08","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3332","3369","3332","3369","1","37","34.10","1.50E-08","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3372","3408","3373","3408","2","37","36.60","2.40E-09","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3411","3448","3412","3448","2","37","31.30","1.10E-07","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3451","3489","3452","3489","2","37","45.40","4.20E-12","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3492","3531","3493","3531","2","37","42.70","2.90E-11","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3534","3570","3535","3570","2","37","43.20","2.10E-11","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3573","3609","3574","3609","2","37","46.70","1.80E-12","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3611","3647","3611","3647","1","37","48.70","4.10E-13","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3652","3690","3653","3690","2","37","32.80","3.80E-08","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_a","Low-density lipoprotein receptor domain class A","Repeat","n/a","3739","3776","3740","3776","2","37","31.40","1.00E-07","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","614","658","614","657","1","42","24.20","2.40E-05","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","660","709","662","708","3","42","25.30","1.10E-05","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","1356","1397","1356","1396","1","42","41.40","1.00E-10","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","1399","1444","1401","1443","3","42","27.50","2.30E-06","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","1627","1668","1627","1668","1","43","28.90","7.90E-07","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","1977","2018","1977","2017","1","42","39.80","3.10E-10","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","2020","2062","2020","2062","1","43","37.10","2.30E-09","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","2344","2387","2344","2386","1","42","42.20","5.70E-11","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","2389","2429","2390","2428","2","41","25.00","1.40E-05","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","3069","3112","3071","3112","3","43","26.70","3.90E-06","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","3114","3155","3114","3155","1","43","27.70","2.00E-06","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","3157","3199","3157","3198","1","42","39.40","4.40E-10","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","3201","3241","3202","3240","2","41","30.20","3.10E-07","n/a"
"LRP1","4035","NP_002323.2","Ldl_recept_b","Low-density lipoprotein receptor repeat class B","Repeat","CL0186","3970","4011","3970","4010","1","42","41.80","7.80E-11","n/a"
"LRRN1","57633","NP_065924.3","I-set","Immunoglobulin I-set domain","Domain","CL0011","426","516","431","516","6","90","59.70","1.50E-16","n/a"
"LRRN1","57633","NP_065924.3","LRR_4","Leucine Rich repeats (2 copies)","Family","CL0022","95","139","96","136","2","41","37.40","1.10E-09","n/a"
"LRRN1","57633","NP_065924.3","LRR_4","Leucine Rich repeats (2 copies)","Family","CL0022","143","184","144","180","2","37","30.80","1.20E-07","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","357","396","357","396","1","42","34.60","1.10E-08","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","587","627","587","627","1","42","36.10","3.80E-09","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","629","669","629","669","1","42","37.70","1.20E-09","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","671","709","671","703","1","34","30.90","1.60E-07","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","710","750","710","750","1","42","35.60","5.20E-09","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","752","792","752","792","1","42","39.60","2.90E-10","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","794","832","794","826","1","34","27.10","2.40E-06","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","834","876","834","871","1","37","42.50","3.70E-11","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","878","918","878","918","1","42","37.30","1.50E-09","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","920","959","920","959","1","42","34.60","1.10E-08","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","961","1003","961","1002","1","41","30.60","1.90E-07","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1005","1047","1005","1042","1","36","31.40","1.10E-07","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1049","1089","1049","1089","1","42","36.60","2.60E-09","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1091","1132","1091","1121","1","32","26.10","5.10E-06","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1253","1294","1253","1294","1","42","27.40","2.00E-06","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1296","1336","1296","1325","1","31","25.60","7.10E-06","n/a"
"LTBP4","8425","NP_001036009.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1574","1617","1574","1617","1","42","34.20","1.40E-08","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","290","329","290","329","1","42","34.70","1.10E-08","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","520","560","520","560","1","42","36.10","3.60E-09","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","562","602","562","602","1","42","37.80","1.10E-09","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","604","642","604","636","1","34","30.90","1.50E-07","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","643","683","643","683","1","42","35.70","5.00E-09","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","685","725","685","725","1","42","39.70","2.80E-10","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","727","765","727","759","1","34","27.20","2.30E-06","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","767","809","767","804","1","37","42.60","3.60E-11","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","811","851","811","851","1","42","37.40","1.50E-09","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","853","892","853","892","1","42","34.70","1.00E-08","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","894","936","894","935","1","41","30.70","1.80E-07","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","938","980","938","975","1","36","31.50","1.00E-07","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","982","1022","982","1022","1","42","36.70","2.50E-09","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1024","1065","1024","1054","1","32","26.10","4.90E-06","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1186","1227","1186","1227","1","42","27.50","1.90E-06","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1229","1269","1229","1258","1","31","25.70","6.80E-06","n/a"
"LTBP4","8425","NP_001036010.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1507","1550","1507","1550","1","42","34.30","1.40E-08","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","320","359","320","359","1","42","34.60","1.10E-08","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","550","590","550","590","1","42","36.10","3.70E-09","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","592","632","592","632","1","42","37.80","1.10E-09","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","634","672","634","666","1","34","30.90","1.60E-07","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","673","713","673","713","1","42","35.70","5.10E-09","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","715","755","715","755","1","42","39.70","2.80E-10","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","757","795","757","789","1","34","27.10","2.40E-06","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","797","839","797","834","1","37","42.50","3.60E-11","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","841","881","841","881","1","42","37.40","1.50E-09","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","883","922","883","922","1","42","34.70","1.00E-08","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","924","966","924","965","1","41","30.60","1.90E-07","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","968","1010","968","1005","1","36","31.50","1.10E-07","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1012","1052","1012","1052","1","42","36.60","2.60E-09","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1054","1095","1054","1084","1","32","26.10","5.00E-06","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1216","1257","1216","1257","1","42","27.40","1.90E-06","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1259","1299","1259","1288","1","31","25.60","6.90E-06","n/a"
"LTBP4","8425","NP_003564.2 ","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","1537","1580","1537","1580","1","42","34.30","1.40E-08","n/a"
"LTBP4","8425","NP_001036009.1","TB","TB domain","Family","n/a","416","458","417","458","2","42","42.40","2.90E-11","n/a"
"LTBP4","8425","NP_001036009.1","TB","TB domain","Family","n/a","1191","1234","1192","1234","2","42","39.90","1.80E-10","n/a"
"LTBP4","8425","NP_001036009.1","TB","TB domain","Family","n/a","1359","1401","1361","1401","3","42","45.10","4.10E-12","n/a"
"LTBP4","8425","NP_001036010.1","TB","TB domain","Family","n/a","349","391","350","391","2","42","42.50","2.80E-11","n/a"
"LTBP4","8425","NP_001036010.1","TB","TB domain","Family","n/a","1124","1167","1125","1167","2","42","39.90","1.70E-10","n/a"
"LTBP4","8425","NP_001036010.1","TB","TB domain","Family","n/a","1292","1334","1294","1334","3","42","45.20","3.90E-12","n/a"
"LTBP4","8425","NP_003564.2 ","TB","TB domain","Family","n/a","379","421","380","421","2","42","42.40","2.90E-11","n/a"
"LTBP4","8425","NP_003564.2 ","TB","TB domain","Family","n/a","1154","1197","1155","1197","2","42","39.90","1.80E-10","n/a"
"LTBP4","8425","NP_003564.2 ","TB","TB domain","Family","n/a","1322","1364","1324","1364","3","42","45.20","4.00E-12","n/a"
"MAPRE1","22919","NP_036457.1","CH","Calponin homology (CH) domain","Domain","CL0188","15","116","17","115","3","108","45.10","6.60E-12","n/a"
"MAPRE1","22919","NP_036457.1","EB1","EB1-like C-terminal motif","Family","n/a","209","248","210","248","2","43","60.10","1.20E-16","n/a"
"MARCO","8685","NP_006761.1","Collagen","Collagen triple helix repeat (20 copies)","Repeat","n/a","140","205","148","205","1","58","31.70","6.70E-08","n/a"
"MARCO","8685","NP_006761.1","Collagen","Collagen triple helix repeat (20 copies)","Repeat","n/a","178","258","193","235","16","58","24.40","1.20E-05","n/a"
"MARCO","8685","NP_006761.1","Collagen","Collagen triple helix repeat (20 copies)","Repeat","n/a","229","305","244","302","1","59","26.50","2.70E-06","n/a"
"MARCO","8685","NP_006761.1","Collagen","Collagen triple helix repeat (20 copies)","Repeat","n/a","361","423","361","419","1","59","37.60","9.00E-10","n/a"
"MARCO","8685","NP_006761.1","SRCR","Scavenger receptor cysteine-rich domain","Domain","n/a","426","519","429","519","5","100","95.40","1.70E-27","n/a"
"MASP1","5648","NP_001027019.1","CUB","CUB domain","Domain","CL0164","20","135","24","135","5","110","67.40","8.20E-19","n/a"
"MASP1","5648","NP_001027019.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","139","181","139","181","1","42","25.50","7.80E-06","n/a"
"MASP1","5648","NP_001027019.1","CUB","CUB domain","Domain","CL0164","185","294","185","294","1","110","107.20","3.40E-31","n/a"
"MASP1","5648","NP_001027019.1","Sushi","Sushi domain (SCR repeat)","Domain","n/a","301","362","301","362","1","56","35.90","5.80E-09","n/a"
"MASP1","5648","NP_001870.3","CUB","CUB domain","Domain","CL0164","20","135","24","135","5","110","65.90","2.30E-18","n/a"
"MASP1","5648","NP_001870.3","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","139","181","139","181","1","42","24.40","1.70E-05","n/a"
"MASP1","5648","NP_001870.3","CUB","CUB domain","Domain","CL0164","185","294","185","294","1","110","105.80","9.70E-31","n/a"
"MASP1","5648","NP_001870.3","Sushi","Sushi domain (SCR repeat)","Domain","n/a","301","362","301","362","1","56","34.70","1.40E-08","n/a"
"MASP1","5648","NP_001870.3","Sushi","Sushi domain (SCR repeat)","Domain","n/a","367","432","367","424","1","53","28.40","1.20E-06","n/a"
"MASP1","5648","NP_001870.3","Trypsin","Trypsin","Domain","CL0124","449","691","449","691","1","219","242.80","2.30E-72","552;646;490"
"MASP1","5648","NP_624302.1","CUB","CUB domain","Domain","CL0164","20","135","24","135","5","110","65.80","2.50E-18","n/a"
"MASP1","5648","NP_624302.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","139","181","139","181","1","42","24.30","1.80E-05","n/a"
"MASP1","5648","NP_624302.1","CUB","CUB domain","Domain","CL0164","185","294","185","294","1","110","105.70","1.00E-30","n/a"
"MASP1","5648","NP_624302.1","Sushi","Sushi domain (SCR repeat)","Domain","n/a","301","362","301","362","1","56","34.60","1.40E-08","n/a"
"MASP1","5648","NP_624302.1","Sushi","Sushi domain (SCR repeat)","Domain","n/a","367","432","367","424","1","53","28.30","1.30E-06","n/a"
"MASP1","5648","NP_624302.1","Trypsin","Trypsin","Domain","CL0124","450","711","450","711","1","219","189.20","5.80E-56","553;664;497"
"MDM2","4193","NP_002383.2","SWIB","SWIB/MDM2 domain","Domain","n/a","33","108","34","107","2","75","67.20","5.80E-19","n/a"
"MDM2","4193","NP_002383.2","zf-RanBP","Zn-finger in Ran binding protein and others","Domain","n/a","305","334","306","333","2","29","36.10","2.00E-09","n/a"
"MED13L","23389","NP_056150.1","Med13_C","Mediator complex subunit 13 C-terminal","Family","n/a","1678","2201","1678","2201","1","420","442.70","8.20E-133","n/a"
"MED13L","23389","NP_056150.1","Med13_N","Mediator complex subunit 13 N-terminal","Domain","n/a","1","385","12","385","6","400","396.80","6.80E-119","n/a"
"MEG3","55384","-","-","-","-","-","0","0","0","0","0","0","0.00","-","-"
"MGC16121","84848","-","-","GC16122","84849","-","0","0","84850","0","0","0","84851.00","-","-"
"MLH1","4292","NP_000240.1","DNA_mis_repair","DNA mismatch repair protein; C-terminal domain","Family","CL0329","216","335","216","334","1","118","118.30","1.00E-34","n/a"
"MLH1","4292","NP_001161089.1","DNA_mis_repair","DNA mismatch repair protein; C-terminal domain","Family","CL0329","118","237","118","236","1","118","118.60","8.10E-35","n/a"
"MLH1","4292","NP_001161090.1","DNA_mis_repair","DNA mismatch repair protein; C-terminal domain","Family","CL0329","1","94","2","93","26","118","100.80","2.60E-29","n/a"
"MLH1","4292","NP_001161091.1","DNA_mis_repair","DNA mismatch repair protein; C-terminal domain","Family","CL0329","1","94","2","93","26","118","100.80","2.60E-29","n/a"
"MLH1","4292","NP_000240.1","HATPase_c","Histidine kinase-; DNA gyrase B-; and HSP90-like ATPase","Domain","CL0025","23","154","25","150","3","104","39.50","2.90E-10","n/a"
"MLH3","27030","NP_001035197.1","DNA_mis_repair","DNA mismatch repair protein; C-terminal domain","Family","CL0329","211","349","213","348","3","118","38.90","3.80E-10","n/a"
"MLH3","27030","NP_055196.2","DNA_mis_repair","DNA mismatch repair protein; C-terminal domain","Family","CL0329","211","349","213","348","3","118","39.00","3.70E-10","n/a"
"MLH3","27030","NP_001035197.1","HATPase_c","Histidine kinase-; DNA gyrase B-; and HSP90-like ATPase","Domain","CL0025","18","152","20","148","4","106","31.70","8.00E-08","n/a"
"MLH3","27030","NP_055196.2","HATPase_c","Histidine kinase-; DNA gyrase B-; and HSP90-like ATPase","Domain","CL0025","18","152","20","148","4","106","31.70","7.90E-08","n/a"
"MLH3","27030","NP_001035197.1","MutL_C","MutL C terminal dimerisation domain","Domain","n/a","1189","1372","1217","1370","20","142","44.10","1.20E-11","n/a"
"MME","4311","NP_000893.2","Peptidase_M13_N","Peptidase family M13","Family","n/a","80","483","80","483","1","388","423.10","8.20E-127","n/a"
"MME","4311","NP_000893.2","Peptidase_M13","Peptidase family M13","Family","CL0126","543","749","543","749","1","203","209.30","2.80E-62","585;591;651"
"MME","4311","NP_009218.2","Peptidase_M13_N","Peptidase family M13","Family","n/a","80","483","80","483","1","388","423.10","8.20E-127","n/a"
"MME","4311","NP_009218.2","Peptidase_M13","Peptidase family M13","Family","CL0126","543","749","543","749","1","203","209.30","2.80E-62","585;591;651"
"MME","4311","NP_009219.2","Peptidase_M13_N","Peptidase family M13","Family","n/a","80","483","80","483","1","388","423.10","8.20E-127","n/a"
"MME","4311","NP_009219.2","Peptidase_M13","Peptidase family M13","Family","CL0126","543","749","543","749","1","203","209.30","2.80E-62","585;591;651"
"MME","4311","NP_009220.2","Peptidase_M13_N","Peptidase family M13","Family","n/a","80","483","80","483","1","388","423.10","8.20E-127","n/a"
"MME","4311","NP_009220.2","Peptidase_M13","Peptidase family M13","Family","CL0126","543","749","543","749","1","203","209.30","2.80E-62","585;591;651"
"MMP10","4319","NP_002416.1","Hemopexin","Hemopexin","Repeat","n/a","295","337","295","337","1","45","39.40","2.90E-10","n/a"
"MMP10","4319","NP_002416.1","Hemopexin","Hemopexin","Repeat","n/a","339","382","339","382","1","45","40.90","9.60E-11","n/a"
"MMP10","4319","NP_002416.1","Hemopexin","Hemopexin","Repeat","n/a","387","434","387","433","1","44","56.40","1.40E-15","n/a"
"MMP10","4319","NP_002416.1","Hemopexin","Hemopexin","Repeat","n/a","436","476","436","476","1","45","30.70","1.50E-07","n/a"
"MMP10","4319","NP_002416.1","Peptidase_M10","Matrixin","Domain","CL0126","107","263","107","263","1","152","203.90","7.70E-61","218"
"MMP10","4319","NP_002416.1","PG_binding_1","Putative peptidoglycan binding domain","Domain","CL0244","28","86","33","86","7","57","40.90","1.20E-10","n/a"
"MMP26","56547","NP_068573.2","Peptidase_M10","Matrixin","Domain","CL0126","98","253","98","253","1","152","179.30","3.00E-53","209"
"MMP7","4316","NP_002414.1","Peptidase_M10","Matrixin","Domain","CL0126","103","259","103","259","1","152","180.30","1.40E-53","215"
"MMP7","4316","NP_002414.1","PG_binding_1","Putative peptidoglycan binding domain","Domain","CL0244","28","82","31","82","4","57","46.80","1.70E-12","n/a"
"MMP9","4318","NP_004985.2","fn2","Fibronectin type II domain","Domain","n/a","230","271","230","271","1","42","66.10","1.60E-18","n/a"
"MMP9","4318","NP_004985.2","fn2","Fibronectin type II domain","Domain","n/a","288","329","288","329","1","42","65.60","2.30E-18","n/a"
"MMP9","4318","NP_004985.2","fn2","Fibronectin type II domain","Domain","n/a","347","388","347","388","1","42","70.70","5.60E-20","n/a"
"MMP9","4318","NP_004985.2","Hemopexin","Hemopexin","Repeat","n/a","521","565","521","564","1","44","41.70","5.60E-11","n/a"
"MMP9","4318","NP_004985.2","Hemopexin","Hemopexin","Repeat","n/a","567","608","568","605","2","42","24.40","1.40E-05","n/a"
"MMP9","4318","NP_004985.2","Hemopexin","Hemopexin","Repeat","n/a","613","656","615","655","3","44","28.70","6.30E-07","n/a"
"MMP9","4318","NP_004985.2","Hemopexin","Hemopexin","Repeat","n/a","661","704","663","699","3","39","26.50","3.20E-06","n/a"
"MMP9","4318","NP_004985.2","Peptidase_M10","Matrixin","Domain","CL0126","115","444","115","444","1","152","199.70","1.60E-59","402"
"MMP9","4318","NP_004985.2","PT","PT repeat","Repeat","n/a","472","507","472","506","1","35","32.40","3.20E-08","n/a"
"MMP9","4318","NP_004985.2","PG_binding_1","Putative peptidoglycan binding domain","Domain","CL0244","38","94","40","94","3","57","25.40","8.20E-06","n/a"
"MRPL3","11222","NP_009139.1","Ribosomal_L3","Ribosomal protein L3","Family","n/a","103","300","103","300","1","263","163.70","4.20E-48","n/a"
"MS4A6","64231","NP_071744.2","CD20","CD20-like family","Family","CL0347","47","208","47","208","1","149","108.40","2.30E-31","n/a"
"MS4A6","64231","NP_690590.1","CD20","CD20-like family","Family","CL0347","47","174","47","147","1","93","84.40","5.90E-24","n/a"
"MS4A6","64231","NP_690591.1","CD20","CD20-like family","Family","CL0347","47","208","47","208","1","149","108.00","3.10E-31","n/a"
"MSX2","4488","NP_002440.2","Homeobox","Homeobox domain","Domain","CL0123","143","199","143","199","1","57","77.10","4.70E-22","n/a"
"MT1E","4493","NP_783316.2","Metallothio","Metallothionein","Domain","CL0461","1","61","1","61","1","63","51.50","5.40E-14","n/a"
"MTHFR","4524","NP_005948.3","MTHFR","Methylenetetrahydrofolate reductase","Domain","CL0086","48","337","48","337","1","287","405.80","6.40E-122","n/a"
"MUM1L1","139221","NP_001164491.1","-","-","-","-","0","0","0","0","0","0","0.00","-","-"
"MUM1L1","139221","NP_689636.3","-","-","-","-","0","0","0","0","0","0","0.00","-","-"
"MVD","4597","NP_002452.1","GHMP_kinases_N","GHMP kinases N terminal domain","Family","CL0329","111","166","112","156","2","49","29.30","5.10E-07","n/a"
"NCOA3","8202","NP_001167559.1","DUF1518","Domain of unknown function (DUF1518)","Domain","n/a","1282","1339","1282","1339","1","58","83.80","5.40E-24","n/a"
"NCOA3","8202","NP_001167558.1","Nuc_rec_co-act","Nuclear receptor coactivator","Domain","n/a","1045","1095","1045","1095","1","51","87.70","2.10E-25","n/a"
"NCOA3","8202","NP_001167559.1","Nuc_rec_co-act","Nuclear receptor coactivator","Domain","n/a","1040","1090","1040","1090","1","51","87.70","2.10E-25","n/a"
"NCOA3","8202","NP_006525.2","Nuc_rec_co-act","Nuclear receptor coactivator","Domain","n/a","1045","1095","1045","1095","1","51","87.70","2.10E-25","n/a"
"NCOA3","8202","NP_858045.1","Nuc_rec_co-act","Nuclear receptor coactivator","Domain","n/a","1045","1095","1045","1095","1","51","87.70","2.10E-25","n/a"
"NCOA3","8202","NP_001167558.1","PAS","PAS fold","Domain","CL0183","113","210","116","173","5","65","33.90","1.80E-08","n/a"
"NCOA3","8202","NP_001167559.1","PAS","PAS fold","Domain","CL0183","113","210","116","173","5","65","33.90","1.80E-08","n/a"
"NCOA3","8202","NP_006525.2","PAS","PAS fold","Domain","CL0183","113","210","116","173","5","65","33.90","1.80E-08","n/a"
"NCOA3","8202","NP_858045.1","PAS","PAS fold","Domain","CL0183","113","210","116","173","5","65","33.90","1.80E-08","n/a"
"NCOA3","8202","NP_001167558.1","SRC-1","Steroid receptor coactivator","Domain","n/a","616","704","616","704","1","78","84.60","4.90E-24","n/a"
"NCOA3","8202","NP_001167559.1","SRC-1","Steroid receptor coactivator","Domain","n/a","626","714","626","714","1","78","84.60","4.90E-24","n/a"
"NCOA3","8202","NP_006525.2","SRC-1","Steroid receptor coactivator","Domain","n/a","616","704","616","704","1","78","84.60","4.90E-24","n/a"
"NCOA3","8202","NP_858045.1","SRC-1","Steroid receptor coactivator","Domain","n/a","616","704","616","704","1","78","84.50","4.90E-24","n/a"
