"Gene_Name","Gene_ID","Protein_ID","mRNA_ID","CCDS_ID","Trembl_ID","SwissProt_ID"
"RUNX1T1","862","NP_001185559.1","NM_001198630.1","-","Q7Z4J5","Q06455"
"RUNX1T1","862","NP_001185560.1","NM_001198631.1","-","Q7Z4J5","Q06455"
"RUNX1T1","862","NP_001185561.1 ","NM_001198632.1","-","Q7Z4J5","Q06455"
"RUNX1T1","862","NP_001185562.1","NM_001198633.1","-","Q7Z4J5","-"
"RUNX1T1","862","NP_001185563.1","NM_001198634.1","-","B7Z4P4","-"
"RUNX1T1","862","NP_001185608.1","NM_001198679.1","-","Q7Z4J5","-"
"RUNX1T1","862","NP_004340.1 ","NM_004349.3","CCDS47891.1","-","Q06455"
"RUNX1T1","862","NP_783552.1","NM_175634.2","CCDS6256.1","-","Q06455"
"RUNX1T1","862","NP_783553.1","NM_175635.2","CCDS6257.1","Q7Z4J5","Q06455"
"RUNX1T1","862","NP_783554.1","NM_175636.2","CCDS6257.1","Q7Z4J5","Q06455"
"RUVBL1","8607","NP_003698.1","NM_003707.2","CCDS3047.1","-","Q9Y265"
"S100A2","6273","NP_005969.1","NM_005978.3","CCDS1044.1","-","P29034"
"S100A4","6275","NP_002952.1","NM_002961.2","CCDS1042.1","-","P26447"
"S100A4","6275","NP_062427.1","NM_019554.2","CCDS1042.1","-","P26447"
"SAA1","6288","NP_000322.2","NM_000331.4","CCDS7835.1","-","P02735"
"SAA1","6288","NP_001171477.1","NM_001178006.1","CCDS7835.1","-","P02735"
"SAA1","6288","NP_954630.1","NM_199161.3","CCDS7835.1","-","P02735"
"SAA2","6289","NP_001120852.1","NM_001127380.2","CCDS44548.1","-","-"
"SAA2","6289","NP_110381.2","NM_030754.4","CCDS7833.1","-","P02735"
"SAT1","6303","NP_002961.1","NM_002970.2","CCDS14207.1","Q6ICU9","P21673"
"SCARA5","286133","NP_776194.2","NM_173833.5","CCDS6064.1","-","Q6ZMJ2"
"SCGB2A2","4250","NP_002402.1","NM_002411.2","CCDS8018.1","-","Q13296"
"SDC1","6382","NP_001006947.1","NM_001006946.1","CCDS1697.1","-","P18827"
"SDC1","6382","NP_002988.3","NM_002997.4","CCDS1697.1","-","P18827"
"SELP","6403","NP_002996.2","NM_003005.3","CCDS1282.1","Q5R349; Q6NUL9","P16109"
"SERPINA3","12","NP_001076.2","NM_001085.4","CCDS32150.1","-","P01011"
"SERPINB2","5055","NP_001137290.1","NM_001143818.1","CCDS11989.1","-","P05120"
"SERPINB2","5055","NP_002566.1","NM_002575.2","CCDS11989.1","-","P05120"
"SESN3","143686","NP_653266.2 ","NM_144665.2","CCDS8303.1","-","P58005"
"SFN","2810","NP_006133.1","NM_006142.3","CCDS288.1","-","P31947"
"SFRS3","6428","NP_003008.1","NM_003017.4","CCDS4823.1","B2R6F3","P84103"
"SHBG","6462","NP_001031.2","NM_001040.3","CCDS11117.1","B0FWH2","P04278"
"SHBG","6462","NP_001139751.1","NM_001146279.1","-","B0FWH2","-"
"SHBG","6462","NP_001139752.1","NM_001146280.1","CCDS54082.1","-","-"
"SHBG","6462","NP_001139753.1","NM_001146281.1","CCDS54083.1","B0FWH4","E9PGW1"
"SHD","56961","NP_064594.3","NM_020209.3","CCDS12125.1","-","Q96IW2"
"SIN3B","23309","NP_056075.1","NM_015260.1","CCDS32946.1","-","O75182"
"SKP2","6502","NP_005974.2","NM_005983.2","CCDS3916.1","-","Q13309"
"SKP2","6502","NP_116026.1","NM_032637.2","CCDS3915.1","-","Q13309"
"SLC18A2","6751","NP_001040.1","NM_001049.2","CCDS9666.1","Q86SW9","P30872"
"SLC24A3","57419","NP_065740.2","NM_020689.3","CCDS13140.1","-","Q9HC58"
"SLC26A2","1836","NP_000103.2","NM_000112.3","CCDS4300.1","-","P50443"
"SLC29A2","3177","NP_001523.2","NM_001532.2","CCDS8137.1","Q96FB2","Q14542"
"SLC2A5","6518","NP_001129057.1","NM_001135585.1","CCDS44054.1","Q8IVB3","-"
"SLC2A5","6518","NP_003030.1","NM_003039.2","CCDS99.1","-","P22732"
"SLC38A1","81539","NP_001070952.1","NM_001077484.1","CCDS41774.1","-","Q9H2H9"
"SLC38A1","81539","NP_109599.3","NM_030674.3","CCDS41774.1","-","Q9H2H9"
"SLC47A1","55244","NP_060712.2","NM_018242.2","CCDS11209.1","-","Q96FL8"
"SMYD2","56950","NP_064582.2","NM_020197.2","CCDS31022.1","-","Q9NRG4"
"SNAPC1","6617","NP_003073.1","NM_003082.3","CCDS9755.1","B2RC42","Q16533"
"SORBS2","8470","NP_001139142.1","NM_001145670.1","CCDS47173.1","E9PAS5","O94875"
"SORBS2","8470","NP_001139143.1","NM_001145671.1","CCDS47174.1","E9PB50","O94875"
"SORBS2","8470","NP_001139144.1","NM_001145672.1","CCDS54825.1","B7Z1G5","O94875"
"SORBS2","8470","NP_001139145.1","NM_001145673.1","CCDS47175.1","E9PAW4","O94875"
"SORBS2","8470","NP_001139146.1","NM_001145674.1","CCDS47176.1","B3KPQ7; B7Z3X6","-"
"SORBS2","8470","NP_001139147.1","NM_001145675.1","-","B7Z997","-"
"SORBS2","8470","NP_003594.3","NM_003603.5","CCDS43289.2","-","O94875"
"SORBS2","8470","NP_066547.1","NM_021069.4","CCDS3845.1","-","O94875"
"SOX2","6657","NP_003097.1","NM_003106.3","CCDS3239.1","-","P48431"
"SPDEF","25803","NP_036523.1","NM_012391.1","CCDS4794.1","-","O95238"
"SPHK1","8877","NP_001136073.1","NM_001142601.1","CCDS45785.1","Q53ZR5; Q96GK1","Q9NYA1"
"SPHK1","8877","NP_001136074.1","NM_001142602.1","CCDS45785.1","Q53ZR5; Q96GK1","Q9NYA1"
"SPHK1","8877","NP_068807.2","NM_021972.3","-","Q96GK1","Q9NYA1"
"SPHK1","8877","NP_892010.2","NM_182965.2","CCDS11744.1","Q96GK1","Q9NYA1"
"SPP1","6696","NP_000573.1","NM_000582.2","CCDS3626.1","B2RDA1","P10451"
"SPP1","6696","NP_001035147.1","NM_001040058.1","CCDS43250.1","Q4W597","P10451"
"SPP1","6696","NP_001035149.1","NM_001040060.1","CCDS34027.1","Q567T5","-"
"SPRY2","10253","NP_005833.1","NM_005842.2","CCDS9463.1","-","O43597"
"SPTLC1","10558","NP_006406.1","NM_006415.2","CCDS6692.1","-","O15269"
"SPTLC1","10558","NP_847894.1","NM_178324.1","CCDS6693.1","Q96IX6","-"
"SRC","6714","NP_005408.1","NM_005417.3","CCDS13294.1","-","P12931"
"SRC","6714","NP_938033.1","NM_198291.1","CCDS13294.1","-","P12931"
"SRPX","8406","NP_001164221.1","NM_001170750.1","CCDS55400.1","B3KWP8","-"
"SRPX","8406","NP_001164222.1","NM_001170751.1","CCDS55401.1","B4DQH5","-"
"SRPX","8406","NP_001164223.1","NM_001170752.1","CCDS55402.1","B4DDB8","-"
"SRPX","8406","NP_006298.1","NM_006307.4","CCDS14245.1","-","P78539"
"ST6GAL1","6480","NP_003023.1","NM_003032.2","CCDS3285.1","-","P15907"
"ST6GAL1","6480","NP_775323.1","NM_173216.2","CCDS3285.1","-","P15907"
"ST6GAL1","6480","NP_775324.1","NM_173217.2","CCDS46973.1","B2R513","P15907"
"ST8SIA4","7903","NP_005659.1","NM_005668.4","CCDS4091.1","-","Q92187"
"ST8SIA4","7903","NP_778222.1","NM_175052.1","CCDS47252.1","Q8N1F4","-"
"STK11","6794","NP_000446.1","NM_000455.4","CCDS45896.1","-","Q15831"
"SULT1A1","6817","NP_001046.2","NM_001055.2","CCDS32420.1","-","P50225"
"SULT1A1","6817","NP_803565.1","NM_177529.1","CCDS32420.1","-","P50225"
"SULT1A1","6817","NP_803566.1","NM_177530.1","CCDS32420.1","-","P50225"
"SULT1A1","6817","NP_803878.1","NM_177534.1","CCDS32420.1","-","P50225"
"SULT1A1","6817","NP_803880.1","NM_177536.2","CCDS10637.1","-","P50225"
"SULT1E1","6783","NP_005411.1","NM_005420.2","CCDS3531.1","Q53X91","P49888"
"TBX3","6926","NP_005987.3","NM_005996.3","CCDS9175.1","-","O15119"
"TBX3","6926","NP_057653.3","NM_016569.3","CCDS9176.1","-","O15119"
"TCEAL7","56849","NP_689491.1","NM_152278.3","CCDS14506.1","-","Q9BRU2"
"TCEB3","6924","NP_003189.2","NM_003198.2","CCDS239.2","-","Q14241"
"TFAM","7019","NP_003192.1","NM_003201.1","CCDS7253.1","E5KSU5","Q00059"
"TFAP2A","7020","NP_001027451.1","NM_001032280.2","CCDS34337.1","Q8N1C6","P05549"
"TFAP2A","7020","NP_001035890.1","NM_001042425.1","CCDS43422.1","Q5TAV5","P05549"
"TFAP2A","7020","NP_003211.1","NM_003220.2","CCDS4510.1","-","P05549"
"TFF1","7031","NP_003216.1","NM_003225.2","CCDS13685.1","-","P04155"
"TFF3","7033","NP_003217.3","NM_003226.3","CCDS33565.2","E9PBB5","Q07654"
"THBS2","7058","NP_003238.2","NM_003247.2","CCDS34574.1","Q6MZL6","P35442"
"THRB","7068","NP_000452.2","NM_000461.4","CCDS2641.1","-","P10828"
"THRB","7068","NP_001121648.1","NM_001128176.1","CCDS2641.1","-","P10828"
"THRB","7068","NP_001121649.1","NM_001128177.1","CCDS2641.1","-","P10828"
"TIMP1","7076","NP_003245.1","NM_003254.2","CCDS14281.1","Q6FGX5","P01033"
"TMC5","79838","NP_001098718.1","NM_001105248.1","CCDS45431.1","-","Q6UXY8"
"TMC5","79838","NP_001098719.1","NM_001105249.1","CCDS42126.1","-","Q6UXY8"
"TMC5","79838","NP_079056.2","NM_024780.4","CCDS10577.1","-","Q6UXY8"
"TMEFF1","8577","NP_003683.2","NM_003692.4","CCDS6750.1","-","Q8IYR6"
"TMEM101","84336","NP_115752.1","NM_032376.2","CCDS11474.1","-","Q96IK0"
"TMEM132C","92293","NP_001129575.2","NM_001136103.2","-","-","Q8N3T6"
"TMEM9B","56674","NP_065695.1","NM_020644.1","CCDS7796.1","Q543A1","Q9NQ34"
"TMSB10","9168","NP_066926.1","NM_021103.3","CCDS1970.1","Q596K9","P63313"
"TNFAIP3","7128","NP_006281.1","NM_006290.2","CCDS5187.1","-","P21580"
"TNFRSF10C","8794","NP_003832.2","NM_003841.3","CCDS6037.1","-","O14798"
"TNXB","7148","NP_061978.6","NM_019105.6","-","O95680; O95681; Q9Y464","P22105"
"TNXB","7148","NP_115859.2","NM_032470.3","CCDS4736.1","Q6IPK3","P22105"
"TP53","7157","NP_000537.3","NM_000546.4","CCDS11118.1","Q53GA5","P04637"
"TP53","7157","NP_001119584.1","NM_001126112.1","CCDS11118.1","Q53GA5","P04637"
"TP53","7157","NP_001119585.1","NM_001126113.1","CCDS45605.1","Q53GA5","P04637"
"TP53","7157","NP_001119586.1","NM_001126114.1","CCDS45606.1","Q53GA5","P04637"
"TP53","7157","NP_001119587.1","NM_001126115.1","-","Q53GA5","P04637"
"TP53","7157","NP_001119588.1","NM_001126116.1","-","Q53GA5","P04637"
"TP53","7157","NP_001119589.1","NM_001126117.1","-","Q53GA5","P04637"
"TRO","7216","NP_001034794.1","NM_001039705.1","CCDS43959.1","-","Q12816"
"TRO","7216","NP_057241.2","NM_016157.2","CCDS43958.1","Q96SX2; Q9BX90","-"
"TRO","7216","NP_808224.1","NM_177556.1","CCDS43958.1","Q96SX2; Q9BX90","-"
"TRPC1","7220","NP_003295.1","NM_003304.4","CCDS3126.1","-","P48995"
"TSHZ3","57616","NP_065907.2","NM_020856.2","CCDS12421.2","-","Q63HK5"
"TTC5","91875","NP_612385.2","NM_138376.2","CCDS9546.1","Q86T04","Q8N0Z6"
"TTK","7272","NP_001160163.1","NM_001166691.1","CCDS55040.1","A8K8U5","-"
"TTK","7272","NP_003309.2","NM_003318.4","CCDS4993.1","-","P33981"
"TWIST2","117581","NP_476527.1","NM_057179.2","CCDS46558.1","-","Q8WVJ9"
"TYMP","1890","NP_001107227.1","NM_001113755.1","CCDS14096.1","B2RBL3; E5KRG5","P19971"
"TYMP","1890","NP_001107228.1","NM_001113756.1","CCDS14096.1","E5KRG5","P19971"
"TYMP","1890","NP_001944.1","NM_001953.3","CCDS14096.1","E5KRG5","P19971"
"TYMS","7298","NP_001062.1","NM_001071.2","CCDS11821.1","Q53Y97","P04818"
"UBE2E2","7325","NP_689866.1","NM_152653.3","CCDS2637.1","-","Q96LR5"
"UCHL1","7345","NP_004172.2","NM_004181.4","CCDS3462.1","-","P09936"
"UGT1A1","54658","NP_000454.1","NM_000463.2","CCDS2510.1","Q5DT03","P22309"
"USP37","57695","NP_065986.2","NM_020935.2","CCDS2418.1","-","Q86T82"
"VEGFA","7422","NP_001020537.2","NM_001025366.2","CCDS34457.1","-","P15692"
"VEGFA","7422","NP_001020538.2","NM_001025367.2","CCDS47433.1","-","P15692"
"VEGFA","7422","NP_001020539.2","NM_001025368.2","CCDS34458.1","-","P15692"
"VEGFA","7422","NP_001020540.2","NM_001025369.2","CCDS47435.1","-","P15692"
"VEGFA","7422","NP_001020541.2","NM_001025370.2","CCDS47434.1","-","P15692"
"VEGFA","7422","NP_001028928.1","NM_001033756.2","CCDS47432.1","-","P15692"
"VEGFA","7422","NP_001165093.1","NM_001171622.1","CCDS55007.1","-","P15692"
"VEGFA","7422","NP_001165094.1","NM_001171623.1","CCDS55010.1","-","P15692"
"VEGFA","7422","NP_001165095.1","NM_001171624.1","CCDS55009.1","-","P15692"
"VEGFA","7422","NP_001165096.1","NM_001171625.1","CCDS55008.1","-","P15692"
"VEGFA","7422","NP_001165097.1","NM_001171626.1","CCDS55012.1","-","P15692"
"VEGFA","7422","NP_001165098.1","NM_001171627.1","CCDS55011.1","-","P15692"
"VEGFA","7422","NP_001165099.1","NM_001171628.1","CCDS55014.1","-","P15692"
"VEGFA","7422","NP_001165100.1","NM_001171629.1","CCDS55013.1","-","P15692"
"VEGFA","7422","NP_001165101.1","NM_001171630.1","CCDS55015.1","-","P15692"
"VEGFA","7422","NP_001191313.1","NM_001204384.1","-","-","P15692"
"VEGFA","7422","NP_001191314.1","NM_001204385.1","-","-","P15692"
"VEGFA","7422","NP_003367.4","NM_003376.5","CCDS4907.2","-","P15692"
"VGLL1","51442","NP_057351.1","NM_016267.3","CCDS14658.1","-","Q99990"
"VGLL3","389136","NP_057290.2","NM_016206.2","CCDS43110.1","-","A8MV65"
"VIM","7431","NP_003371.2","NM_003380.3","CCDS7120.1","-","P08670"
"VOPP1","81552","NP_110423.3","NM_030796.3","CCDS47588.1","-","Q96AW1"
"VPS36","51028","NP_057159.2","NM_016075.2","CCDS9434.1","-","Q86VN1"
"WNT7A","7476","NP_004616.2","NM_004625.3","CCDS2616.1","-","O00755"
"XYLT1","64131","NP_071449.1","NM_022166.3","CCDS10569.1","-","Q86Y38"
"YES1","7525","NP_005424.1","NM_005433.3","CCDS11824.1","-","P07947"
"YWHAB","7529","NP_003395.1","NM_003404.3","CCDS13339.1","-","P31946"
"YWHAB","7529","NP_647539.1","NM_139323.2","CCDS13339.1","-","P31946"
"ZBED1","9189","NP_001164606.1","NM_001171135.1","CCDS14118.1","-","O96006"
"ZBED1","9189","NP_001164607.1","NM_001171136.1","CCDS14118.1","-","O96006"
"ZBED1","9189","NP_004720.1","NM_004729.3","CCDS14118.1","-","O96006"
"ZEB1","6935","NP_001121600.1","NM_001128128.2","CCDS44370.1","B2RBI8; E9PCM7","P37275"
"ZEB1","6935","NP_001167564.1","NM_001174093.1","CCDS53506.1","Q2KJ05; Q5VZ84","-"
"ZEB1","6935","NP_001167565.1","NM_001174094.1","-","B2RBI8","P37275"
"ZEB1","6935","NP_001167566.1","NM_001174095.1","CCDS53507.1","B2RBI8; B4DUW9","P37275"
"ZEB1","6935","NP_001167567.1","NM_001174096.1","CCDS53505.1","Q2KJ05","-"
"ZEB1","6935","NP_110378.3","NM_030751.5","CCDS7169.1","B2RBI8","P37275"
"ZIC1","7545","NP_003403.2","NM_003412.3","CCDS3136.1","-","Q15915"
"ZMYND19","116225","NP_612471.1","NM_138462.2","CCDS7048.1","-","Q96E35"
"ZNF207","7756","NP_001027464.1","NM_001032293.2","CCDS32614.1","-","O43670"
"ZNF207","7756","NP_001091977.1","NM_001098507.1","CCDS42294.1","E1P660","O43670"
"ZNF207","7756","NP_003448.1","NM_003457.3","CCDS11271.1","-","O43670"
